well buffer
A1 "empty"
A2 "empty"
A3 "empty"
A4 "empty"
A5 "empty"
A6 "empty"
A7 "empty"
A8 "empty"
A9 "empty"
A10 "empty"
A11 "empty"
A12 "empty"
B1 "empty"
B2 "His-GST, D-PBS"
B3 "His-GST, D-PBS"
B4 "His-GST, D-PBS"
B5 "His-GST, D-PBS"
B6 "empty"
B7 "empty"
B8 "empty"
B9 "empty"
B10 "empty"
B11 "empty"
B12 "empty"
C1 "empty"
C2 "His-GST, D-PBS"
C3 "His-GST, D-PBS"
C4 "His-GST, D-PBS"
C5 "His-GST, D-PBS"
C6 "empty"
C7 "empty"
C8 "empty"
C9 "empty"
C10 "empty"
C11 "empty"
C12 "empty"
D1 "empty"
D2 "empty"
D3 "empty"
D4 "empty"
D5 "empty"
D6 "empty"
D7 "empty"
D8 "empty"
D9 "empty"
D10 "empty"
D11 "empty"
D12 "empty"
E1 "empty"
E2 "empty"
E3 "empty"
E4 "empty"
E5 "empty"
E6 "empty"
E7 "empty"
E8 "empty"
E9 "empty"
E10 "empty"
E11 "empty"
E12 "empty"
F1 "empty"
F2 "empty"
F3 "empty"
F4 "empty"
F5 "empty"
F6 "empty"
F7 "empty"
F8 "empty"
F9 "empty"
F10 "empty"
F11 "empty"
F12 "empty"
G1 "empty"
G2 "empty"
G3 "empty"
G4 "empty"
G5 "empty"
G6 "empty"
G7 "empty"
G8 "empty"
G9 "empty"
G10 "empty"
G11 "empty"
G12 "empty"
H1 "empty"
H2 "empty"
H3 "empty"
H4 "empty"
H5 "empty"
H6 "empty"
H7 "empty"
H8 "empty"
H9 "empty"
H10 "empty"
H11 "empty"
H12 "empty"

