well buffer comment
A1 "water" ""
A2 "100 mM Na Acetate" "Salt"
A3 "100 mM Ca Acetate" "Salt"
A4 "100 mM K Acetate" "Salt"
A5 "100 mM Ammonium Acetate" "Salt"
A6 "100 mM Na Sulfate" "Salt"
A7 "100 mM Mg Sulfate" "Salt"
A8 "100 mM K Sulfate" "Salt"
A9 "100 mM Ammonium Sulfate" "Salt"
A10 "100 mM Na Phosphate (monobasic)" "Salt"
A11 "100 mM Na Phosphate (dibasic)" "Salt"
A12 "100 mM K Phosphate (monobasic)" "Salt"
B1 "100 mM K Phosphate (dibasic)" "Salt"
B2 "100 mM Na Tartrate" "Salt"
B3 "100 mM Na Citrate (tribasic)" "Salt"
B4 "100 mM Na Malonate" "Salt"
B5 "100 mM Na Nitrate" "Salt"
B6 "100 mM Na Formate" "Salt"
B7 "100 mM K Formate" "Salt"
B8 "100 mM NaF" "Monovalent ions"
B9 "100 mM KF" "Monovalent ions"
B10 "100 mM NH4F" "Monovalent ions"
B11 "100 mM LiCl" "Monovalent ions"
B12 "100 mM NaCl" "Monovalent ions"
C1 "100 mM KCl" "Monovalent ions"
C2 "100 mM NH4Cl" "Monovalent ions"
C3 "100 mM NaI" "Monovalent ions"
C4 "100 mM KI" "Monovalent ions"
C5 "100 mM NaBr" "Monovalent ions"
C6 "1 mM MgCl2" "Multivalent ions, chelating reagents"
C7 "1 mM CaCl2" "Multivalent ions, chelating reagents"
C8 "1 mM MnCl2" "Multivalent ions, chelating reagents"
C9 "1 mM NiCl2" "Multivalent ions, chelating reagents"
C10 "1 mM FeCl2" "Multivalent ions, chelating reagents"
C11 "1 mM ZnCl2" "Multivalent ions, chelating reagents"
C12 "1 mM CoCl2" "Multivalent ions, chelating reagents"
D1 "5 mM EDTA" "Multivalent ions, chelating reagents"
D2 "5 mM EGTA" "Multivalent ions, chelating reagents"
D3 "0.1 M Urea" "Chaotropic reagents"
D4 "0.5 M Urea" "Chaotropic reagents"
D5 "1 M Urea" "Chaotropic reagents"
D6 "2 M Urea" "Chaotropic reagents"
D7 "4 M Urea" "Chaotropic reagents"
D8 "150 mM Guanidine-HCl" "Chaotropic reagents"
D9 "500 mM Guanidine-HCl" "Chaotropic reagents"
D10 "1 mM NDSB-195" "Non detergant, detergant"
D11 "1 mM NDSB-201" "Non detergant, detergant"
D12 "1 mM DPC" "Non detergant, detergant"
E1 "1 mM CHAPS" "Non detergant, detergant"
E2 "1 mM CHAPSO" "Non detergant, detergant"
E3 "1 mM OG" "Non detergant, detergant"
E4 "1 mM DM" "Non detergant, detergant"
E5 "1 mM DDM" "Non detergant, detergant"
E6 "25 mM Monosccharides mix MD2-100-75" "Carbohydrates"
E7 "25 mM Glucose" "Carbohydrates"
E8 "25 mM Sucrose" "Carbohydrates"
E9 "25 mM Maltose" "Carbohydrates"
E10 "50 mM Carboxylic acids mix MD2-100-77" "Carboxylic acids, amino acids (racemic)"
E11 "50 mM Proline"  "Carboxylic acids, amino acids (racemic)"
E12 "50 mM Glycine"  "Carboxylic acids, amino acids (racemic)"
F1 "50 mM Glutamic acid"  "Carboxylic acids, amino acids (racemic)"
F2 "500 mM Glutamic acid"  "Carboxylic acids, amino acids (racemic)"
F3 "50 mM Arginine"  "Carboxylic acids, amino acids (racemic)"
F4 "500 mM Arginine"  "Carboxylic acids, amino acids (racemic)"
F5 "50 mM Arginie, 50 mM Glutamic acid"  "Carboxylic acids, amino acids (racemic)"
F6 "500 mM Arginine, 500 mM Glutamic acid"  "Carboxylic acids, amino acids (racemic)"
F7 "50 mM Gly-Gly-Gly"  "Carboxylic acids, amino acids (racemic)"
F8 "5 mM Oxaloacetate"  "Carboxylic acids, amino acids (racemic)"
F9 "5 % (v/v) DMSO" "Polyols"
F10 "5 % (v/v) Ethylene glycol" "Polyols"
F11 "5 % (v/v) Glycerol" "Polyols"
F12 "20 % (v/v) Glycerol" "Polyols"
G1 "5 % (v/v) PEG 400" "Polyols"
G2 "5 % (w/v) PEG 1000" "Polyols"
G3 "5 % (w/v) PEG 3350" "Polyols"
G4 "5 mM DTT" "Reducing agents"
G5 "5 mM TCEP" "Reducing agents"
G6 "5 mM Biotine" "Linker, co-factor, polyamines"
G7 "5 mM Betaine" "Linker, co-factor, polyamines"
G8 "5 mM Coenzyme A" "Linker, co-factor, polyamines"
G9 "5 mM Nicotinic acid" "Linker, co-factor, polyamines"
G10 "1 mM Spermidine" "Linker, co-factor, polyamines"
G11 "1 mM Spermine" "Linker, co-factor, polyamines"
G12 "1 mM Sacrosine" "Linker, co-factor, polyamines"
H1 "ca. 20 muM Deoxyribonucleic acid library <50 bp" "Nucleotides"
H2 "1 mM ATP, 1 mM MgCl2" "Nucleotides"
H3 "1 mM ATPgS, 1 mM MgCl2" "Nucleotides"
H4 "1 mM cAMP, 1 mM MgCl2" "Nucleotides"
H5 "1 mM GTP, 1 mM MgCl2" "Nucleotides"
H6 "1 mM GTPgS, 1 mM MgCl2" "Nucleotides"
H7 "1 mM cGMP, 1 mM MgCl2" "Nucleotides"
H8 "1 mM NADH, 1 mM MgCl2" "Nucleotides"
H9 "1 mM NADPH, 1 mM MgCl2" "Nucleotides"
H10 "5 mM Polyethylenimine" "Nucleotides"
H11 "200 mM Imidazole" "Imidazole"
H12 "400 mM Imidazole" "Imidazole"
